Review ID,Review Text
11,"On the whole, this was a great experience. The instructors (Scott Rixner, Joe Warren, and John Greiner) clearly care about the quality of the course, and take extra steps to make the course fun with their geeky humor. Rather than dump full lectures online, each short video is specifically designed for online delivery

All is not perfect, however. The course is billed as an introductory course, and while this is technically true, the learning curve is pretty steep and the workload fairly demanding. Each week adds a handful of new concepts, and you immediately apply them in building the week’s project, which is often complicated.

I found the projects very challenging. I’d pretty much start each week’s project during the back half of the course in a total panic, not having any idea how I was going to be able to complete the work. After an hour or two of hyperventilating and blundering my way through things, I’d eventually get some traction and start making progress. This often involved looking for answers to my questions on the forums, going back through previous videos to relearn concepts that I’d forgotten from previous weeks, and just plain trying lots of things to see what happened"
12,"This class is excellent.

I completely agree with all the positive comments.

The instructors are just fantastic. Each lecture is well presented and their enthusiasm for teaching really shines through. You also get a good sense of their fun, geeky personalities.

It is clear that the course instructors have put a lot of work into putting together this course. It is very well thought out and presented.

I have never programmed before and I really feel like I have received a very solid grounding in Python. Also, the projects for each week require you to program a computer game, making it fun to complete the assignments.

As a complete beginner, I did have to invest a lot of time each week to complete the assignments on time (up to 15 hours or so a week as the assignments got more difficult). But, it was well worth it and I felt such a sense of accomplishment as I successfully completed each program.

This course provides a lot of resources for students to get help and feedback on their programs, which is very useful for beginners.

There is a lot of peer (fellow students) and Teaching Assistant help (as well as responses from the instructors) via the class discussion forums, so even if you fall behind on the submission schedule (for the assignments), you can continuing working on the projects (even after the course has ended) as it is easy to get feedback on all your work. In fact, it gets a little bit addictive! So, even if you don't always have the time to put into this course, you can still follow it and complete it in your own time, and it is well worth the effort if you are interested in learning programming.

This is the very first on-line learning course I have taken and it has set a very high standard.

I enjoyed it immensely and I hope to continue learning to program in Python."
13,"Well worth your time. When you finish, you will know enough to address most of your coding requirements (""be dangerous""), or know where to find what you need to know. Instruction is competent, clear and concise and exercises are well integrated. I found they were classes I looked forward to.

I have almost 50 years experience (anyone recall punched cards, paper tape and front panel switch coding?) and have learned many languages, now Python. I have experienced learning from reference manuals (not recommended), tutorials, self taught, formal courses, ""on the job""; this course has been one of the best

One of the major obstacles to learning a new language is getting to writing the code and getting results; this course is superb in this respect. You bring up your browser, go to coursera, then to the course, click CODESKULPTOR and start coding. Results are immediate and clear (well maybe a little interpretation is required) and corrections are simple. You do not have to find or install anything - all you need to do is learn the Python coding rules (syntax) and programming rules (logic). And as all your code is in the cloud you are not limited to a location or machine

The lectures are concise, to the point and related to the current task and can be downloaded and reviewed anytime without access to the web.

While the course exercises develop games, all of the programming techniques are applicable to non-gaming applications; the games - familiar to everyone - provide highly entertaining motivation.

I would estimate you need no more than 6 to 10 hours per week depending on your experience although you could devote a lot more if you want to (I did).

In short - time well spent and a nod of appreciation to the instructors

JDG"
14,"The Introduction to Interactive Programming course offered by Rice University is an excellent course for anyone interested in learning programming fundamentals. The course is designed to be accessible to beginners, yet still provides enough depth to challenge experienced programmers. The course uses Python, which is a widely-used and versatile programming language.

The course content is structured around programming assignments, which are designed to be engaging and interactive. The assignments include building games and animations, which help to keep the course interesting and fun. The instructors provide clear and concise explanations of programming concepts and are available to answer questions and provide feedback on assignments.

One of the standout features of this course is its emphasis on collaboration and community. Students are encouraged to work together and help each other, and the course includes a forum where students can discuss assignments and share ideas. This collaborative environment helps to foster a sense of community and support, which can be especially helpful for beginners.

Overall, the Introduction to Interactive Programming course is a fantastic resource for anyone looking to learn programming fundamentals in a fun and engaging way. The course content is high-quality, the instructors are knowledgeable and supportive, and the collaborative environment is a great asset. I highly recommend this course to anyone looking to learn programming or improve their skills."
15,"Interactive programming in python is a great course for everybody wanting to learn the basics of python programming. In my opinion, it is especially suitable for beginners who have no or only some experience in programming. When I started this course, I had no experience in programming except for some very basic and simple codes I learned to do in Java. So every week was a challenge and it sometimes took me several days to complete a game - but that is all worth it once you have produced a working code, because this literally is one of the best feelings ever!
I first dropped the course when it came to object orientation - I didn't get any of what was going on and I didn't have much time to really get into it. But about two years later, I remembered the course and decided to give it another shot as the course had already tought me more than I would ever have thought to be possible. I did the whole course all over to refresh my memory and when it came to object orientation, I didn't give up again but saw it through and eventually, I understood its concept. What a great feeling!! After that, I had far less problems with the remaining weeks than I thought I would have.

What I wanna say with this: Interactive programming in python makes it possible for everyone to understand and learn how to write programs in python. You might have to be patient, but the course provides all the information you need in order to succeed. So if you're stuck, don't give up, go back a little and watch the videos again or browse the forums. I also highly recommend to do the practice exercises real carefully as I had the impression that those helped me the most to really understand what was being tought in the videos.

However, what the course does not teach in my opinion, is the ability to develop the idea of how a program must look like to produce the result you want. The students are told step by step what to do - they have to implement the idea in python, but they don't have to come up with the idea itself. But I think this is pretty hard to realize in an online course and I think this is not even the goal of this course, so still giving it 5 stars.

So to conclude: Thanks a lot to all of the instructors - I had a great time, much fun and learned quite a lot in this course! :-)"
16,"This course really helped me in developing interest towards python 2 as a person with zero coding experience I really liked how the instructors started from very scratch and slowly developed the level of concept and teaching. The interface of code skulptor was also nice but I really think that considering modern day coding standards the class should incorporate a bit more advanced code editor, Which will not only save time but will also enhance speed and accuracy while coding. One thing that stands out the most is how the teaching was done keeping things simple what I mean is, how the level and complexity how mini projects kept on elevating as the course progressed and I felt no burden thanks to the amazing programming tips and a very clear explanation of how I was supposed to approach the projects. At last I want to thank all the instructors who left no stones unturned in order to make the course virtually interactive. It was a great learning experience."
17,"As a programming language Python is excellent for beginners to professionals. It has all the features of other languages but is easy to learn and you can get results immediately. The Python class from Rice on Coursera.org is excellent and the instructors are superb. They provide all the material you need from websites for course material, to a programming webpage (codeskulptor.org) to extra material and programs you can run and read yourself.

The course has weekly video lectures that are paced slowly so you can take notes or just sit back and watch. The instructors post handouts for you as well. The quizzes give you a chance to stretch what you learn and to try new ideas that bring home the lectures. The quizzes are actually fun and a good learning experience of themselves. Because there is no grade for the course, you can take the quizzes up to five times and learn more and more from each one.

The projects were great fun to build and see run. The instructors give you a template for each project so you're not starting from scratch. And, what is more, they give you a step by step list of how to build your program, one piece at a time. This makes the projects easier and you know what to do as you go. I don't think it limits your learning but rather gives you a way to organize what you've learned and then apply it to the program.

When your project is done, you have a URL for it and, if you want, you can send the URL to friends who can then play the games you programmed. I actually ran one of the games on my phone; it's not great on the small screen, but it did run which was cool.

The lecturers have fun teaching and that makes the course much more enjoyable. The class is fun for them, so it's fun for you, too. I used the forums once for help and sure enough, a student answered my question there. (The best browser for the course is Chrome which we had to use for Space (or Rice) Asteroids, the last project. If you use Firefox, and I did, you'll find some quirks like the arrow keys don't work right so go with Chrome and make life easier.)

If you want to learn programming, and do so in a popular language that is easy to learn, this course is for you.

Good luck and have fun, I sure did.

DSM"
18,"The OOP week was a very, very big hurdle for me and I had to pay my dues and work really hard to get over it and see the light... The BlackJack week cost me many, many hours, most of these spent wondering if I would get it!

But man!!! Was that worth it!

It is not to say that I've mastered anything yet, just that I am in awe at the power and possibility, and let's say it, the beauty, elegance and simplicity of it.

The ease with which I just completed RiceRocks is telling of the skill of our teachers: I started the course with a little bit of functional programming experience from a past life at UNI 30 years ago, and a strong interest in setting up my own personal exploration laboratory, but with zero experience in OOP and/or games;

What looked like an impossibly daunting task became feasible and deeply enjoyable little step after baby step late in the night.

What have I learned?

I am taking away many, many things from this course, but there are two that stand out:

1- If you are going to do anything, set out to do it right, or don't do it. This is what the Rice University team did; Pr. Rixner, Pr. Warren & al. spent countless hours to offer us all this gift; I am deeply grateful fot their efforts. I am hoping for a chance to give back a little on this gift and would gladly like to be a TA for the next session.

2- The key (to me) is in the description of the project: The architecture of the template together with the step by step guide are what make things possible --> it does not matter the scope of your project, if you are able to see the outcome, structure it properly, and cut it down into bite size chunks, then even the widest (or is it wildest?) scope becomes possible.

I will do this course again, maybe with the objective of achieving the projects without the use of the templates and step by step guides provided...

J. F. Kennedy asked ""Why does Rice play Texas?"" in his speech to launch the Apollo missions... I think this course gave us an insight:

Make no mistake, this course is hard; that's why we love it!

Thanks a million!"
19,"This was an excellent course.

Pros:

Great progressive course structure. You start out with the basics and gradually move into more advanced topics.

The instructors. Each week had numerous lecture videos (each no more than 15 minutes with a majority being less than 10). The material was always relevant to the coding assignments and contained many good coding examples. Greiner's weekly coding tips were always very informative. I write programs for work and was able to use many of his tips there.

Keeping with the instructors, their presentation styles were great. Each video consisted of them talking about a subject with their code in the background, which they would also write in real-time. It's a very effective method of teaching, much better than reading PowerPoint slides verbatim. They're also geeky and fun, and don't try to conceal this in their videos. It really does make learning fun!

The discussion forums were active and a big help. Coding can be difficult at times, but in this class, there were thousands of other people ready to help you. Having your classmates as a resource makes everything a whole lot easier and less stressful. Need some help with a function? Post your question and code snippets in the forum and you'll get a response in under 10 minutes. The instructors also frequented the forums and had a weekly Code Clinic for each week's project. You could submit your code there for specific help from the instructors.

Cons:

None, and I really mean that.

This course was so well put together that it sets a very high standard for other MOOCs. Everything else is going to pale in comparison to what Rixner, Warren, Greiner, and Wong have here.

All in all, definitely take this course. You will learn a lot and will have fun in the process. Even if you're just starting to code, give it a shot; the class offers lots of help at every step!"
20,"completed this course and found the course difficulty to be hard.

CS50 turned out to be precisely what I wanted. The platform is reliable, the UX is crisp, and, most importantly, the course content is phenomenal. Professor David Malan and his army of TAs put an absurd amount of effort into giving Intro to Computer Science actual LIFE. From the first video, it inspired that nervous excitement that always accompanied my setting foot into a lecture hall for the first time. This wasn't YouTube, this was the Real Deal.

Because the course was hard. The homework assignments, which were offered via the same appliance that the live students used and submitted to the same grading tool as well, took me anywhere from four to twelve hours apiece."
21,"This course is extremely efficient in the way it teaches python. I have taken many beginner courses, but none like this where I actually was able to follow along and learn week after week. I felt more and more confident about what I was doing and by the end I felt like I actually grasped Python better than I have in any other beginner course I have taken. The professors take so much time to explain concepts and help their students gain a better understanding of what they are working to learn. I also really appreciated the structure of the course as it allowed me to stay focused and meet deadlines a lot easier. Such a great course for anyone hoping to learn more about Python!"
22,"Overall, a great course!
One of the strengths of this course is its hands-on approach to learning. We were given plenty of opportunities to practice what we have learned through coding exercises and projects.
Overall, this course provides a solid foundation in Python programming that will be useful for anyone interested in pursuing a career in software development or data analysis."
23,"Wonderful course. I come from a background with a familiarity in programming in other languages, and this course was a great refresher and introduction to Python. It was clear how much the instructors cared about the course and their passion for teaching the subject was palpable. I'd recommend to anyone who's interested in getting their feet wet with Python."
24,"It's an excellent course, I love how you can tell how much the professors love what they're doing as they really want you understand every topic. Also, the mini projects are fantastic as they really get you start thinking about the different concepts around each topic. I enjoyed they also provided useful tips to make you a better programmer."
25,"This course covers all the basics to slightly more advanced concepts through fun and well taught classes and mini-projects, which were especially fun to implement. It gives you a good start to Python and I recommend it to anyone who wants to get started/feels like brushing up their basics again. Really fun class, I enjoyed!"
26,"The way how the information is presented is simple and easy to follow even if you don't have any experience, the classes are funny and dynamic that it's because the instructors put a lot of effort to keep it in that way. Thanks to all the instructors to make an awesome course ."
27,"This course was amazing! Joe Warren and Scott Rixner are awesome teachers, and the idea of learning Python thorugh building games makes the projects really exciting! If you are interesting in Python, interactive programming and games, I'd definitely recommend taking this course!"
28,This course is amazing! It's very well organized and the instructors are extremely good! I really appreciate the time and effort they put into this course to make our studying as enjoyable as possible by creating so many funny games for us to develop. Thank you very much!
29,"Thanks to all the people who contribute to this course, it is actually better than most of the code teaching course that I have taken. Special thanks to Joe Warren and Scott Rixnar who made this course so entertaining !"
30,Excelent course. Full of practice projects that really help you find your own path to programming. Also lot of useful information in lessons that guide you through those projects. Very recommendable
31,Very well organized awesome course where I learned a lot. I went from having no idea of GUI programming to a common basic understanding of how things work.
32,"Great course! The professors made the lessons lighthearted and understandable. https://www.coursera.org/course/interactivepython

They are offering this course again in Spring/Fall 2014 as they said ""The class forums will stay open until the next session starts in late spring. ""

The gaming projects made it fun and left you wanting to add creature features to the base projects. The peers offered some great ideas and resources outside of the class scope of learning/pushing the envelope.



I can't say that I learned the most from this class, being a programmer in other languages already since it was mostly syntactical differences and learning code variances/limitations. But it was the most fun course I have taken. I definitely recommend this class for:

the talented game crowd peers it brings (especially if they are still attending the class after week 6)

I met/followed some peers to an Android development class Creative, Serious and Playful Science of Android Apps

for the great professors and lessons for this class

the sense of accomplishment felt when finishing the projects

the basic introductory learning of the Python language in a gaming situation which covers a majority of tasks Canvas UI / Input devices / Math / Program Logic

Dynamic: They provide a minimal project template to get you started on projects which include some core variables and class names and any difficult calculation formulas, images, and sounds to reference but the rest is up to you - it's good fun.

This is an Introduction to Python course this is not an introduction to programming and it happens to be Python coding course. It is not a bad start to programming, they use good OO structure, it just may take several more hours a week to learn fundamental programming concepts. I averaged 10hr week with lectures and assignments."
33,"Overall, this course is truly outstanding in all regards: organization, presentation, quantity of material presented and learned in a limited period of time, and providing useful, reusable game projects completed. I regard it as a paragon of what can be accomplished with on-line instruction. The ""tag-team"" teaching approach was also a significant plus. It provided variety in perspectives as well as an interesting method of partitioning focus. The interleaved lectures and topic mix complemented one another extremely well and provided additional effectiveness in covering the material presented.

CodeSkulptor, an excellent on-line interface tool developed by Professor Rixner, enables students to code interactively in select browsers This tool complemented with online access to variety of course materials made it exceptionally easy and effective to learn, study, review, cross-reference and experiment with the materials presented. Professor Warren's love and knowledge of computer games was impetus for using a graded series of games as class projects and extremely effective vehicles for learning and applying Python. Once completed, these projects not only provided an enjoyable, usable work product, but also provided a basis for continued study, experimentation and extension.

I would recommend this course without qualification to individuals with little or no programming experience to more experienced programmers wanting to expand and sharpen their skills. My only warning is that the 7-9 hours/week is probably a minimum time requirement. To take full advantage of the discussion forums, auxiliary materials and to experiment with variations on the various Python methods and coding options can significantly increase the time required, but this additional time will be well spent."
34,"This 5-week course on Coursera is BRILLIANT! It is well structured with excellent videos, quizzes, practice exercises and mini-projects. You can go from knowing nothing about Python to building some simple, fun games (in guided steps), including mini-projects to build simple versions of Pong, Blackjack, and Asteroids. Your coding is done in a browser-based programming environment called CodeSkulptor (www.codeskulptor.org) developed by one of the Professors that teaches the course. The whole course is 9-weeks long and done in two parts in succession (this one, Part 1 is 5 weeks, then Part 2 is 4 weeks). Do both! The course material is released weekly, that way you don't try and race ahead -- not that most people taking this course really could race ahead, especially when trying to get the programming assignments in on time anyway. Yes, at times I was tearing my hair out, screaming at the screen like that'd get my code to work -- but there are ""programming tips"" and the course discussions forums to help with that, with a lot of input from the Community Teaching Assistants, as well as a ""code clinic"" (for really sick code) and good documentation in CodeSkulptor. Rice's IIPP is the best MOOC I have taken to date. Oh, and the Professors who teach (created) this course deserve awards -- they are truly second to none. Not all MOOCs have such engaging personalities as these teaching them. I learned so much from this course and every moment was a blast, especially clearing my local neighbourhood of asteroids at the end, but I still also have fond memories of the simple console version of Rock-Paper-Scissors-Lizard-Spock we created right at the start of the course. I was really quite sad when I completed the course as there were no more mini-projects to tackle!!! I plan to take all of the other courses in this Rice computing specialization as they become available."
